数霊表(1～181）
番号,数霊の意味
96,96は菩薩の心を表す数霊です。
97,97は大事にする、ということがキーワードの数霊です。
98,98は湧き出づる泉のごとく、はるかな智慧と直結する神秘の数霊です。
99,99は福をもたらす分岐点に、あなたが今いることを示す数霊です。
100,100は誰からも愛される、熟練された古き魂を持つ数霊です。
101,101は明るく自由な意志を持つ数霊です。
102,102は天然自然の理に従い生きる潔く清々しい数霊です。
103,103は神秘の中で強さともろさを両方あわせ持つパワー溢れる数霊です。
104,104は礼節をもって、各々(おのおの)の個性が集結することで、力を発揮するという数霊です。
105,105は大いなるみなもとへと通じる、強いバイブレーションを放つ数霊です。
106,106は感情を司る数霊です。
107,107は大志とつながる大いなる数霊です。
108,108は聖なる光と俗なるものが融和し昇華していく数霊です。
109,109は完成へと向かうのに大切な心掛けを伝えてくれる数霊です。
110,110は上昇スパイラルに乗った軽やかな数霊です。
111,111は天と地をつなぐ橋渡しとなる数霊。
112,112は千里眼とつながる数霊です。
113,113は霊的で精妙な数霊です。
114,114は形霊(かただま)を呼び起こし、技芸を広める数霊(かずたま)です。
115,115は数自体が、現状を打開するマントラの役割を持つ数霊です。
116,116は日本と深くかかわり合ってる数霊です。
117,117はイザナギと共に、多くの神を誕生させた女神・イザナミの御心を表す数霊です。
118,118は、今まさに現実に現れるべく、天でのひな型が整い、成就させる橋渡しの数霊です。
119,119は、天空とかかわり合いのある数霊です。
120,120は柔らかさと強さをあわせ持つ女神の数霊です。
121,121は和睦をもたらす結びの数霊です。
122,122は栄枯盛衰を表す数霊です。
123,123は永遠へのいざないをもたらす数霊です。
124,124は謝罪と解毒(デトックス)を表す数霊です。
125,125は、開闢(かいびゃく)の数霊。
126,126は扉を開ける数霊です。
127,127は感情と意志を司る数霊です。
128,128は繁栄と幸運を表す数霊です。
129,129は思いやりと感謝を表す数霊です。
130,130は援護と友愛の数霊です。
131,131はコノハラサクヤの数霊です。
132,132は自分の真価が試される数霊です。
133,133は、のびのびととらわれのないことを示す数霊です。
134,134は才能が花開く数霊です。
135,135は役割と秩序を表す数霊です。
136,136は恐れに屈ず進むことをよしとする数霊です。
137,137は神とつながる力強い数霊です。
138,138はゴールを表す数霊です。
139,139は決意の数霊です。
140,140は協力していくという数霊です。
141,141は謙虚に優雅に生きる数霊です。
142,142は天界を表す数霊です。
143,143は賑わいがあって活気づく数霊です。
144,144は物事の根幹を示す数霊で、大自然の営みとも深いつながりを持っています。
145,145はやすらぎの日々を表す数霊です。
146,146は今こそ正念場・勝負の数霊です。
147,147は天界と地上をつなぐ数霊です。
148,148はいったんという数霊です。
149,149は共に歩いていくという数霊です。
150,150は心して進みなさいという注意を促す数霊です。
151,151は窮地から脱するキーワードの数霊です。
152,152は九頭龍のエネルギーを持つ数霊です。
153,153も152と同じく九頭龍のエネルギーを持っている数霊です。
154,154は舵取りの数霊。
155,155は宝船を表す数霊。
156,156は祝福の数霊。
157,157は自然なるものを愛でる数霊です。
158,158は時が整い満ちたことを示す数霊です。
159,159は自由を尊ぶ数霊です。
160,160は見えない法則化にあるものを指す数霊です。
161,161は形態と関係がある数霊です。
162,162は道連れを伴って共に進むという数霊です。
163,163は無理のない自然な様をよしとする数霊です。
164,164は全方位を示す数霊です。
165,165釈迦如来のエネルギーを放つ数霊です。
166,166は中央に向かっていく様を表す数霊です。
167,167は薬師如来の数霊です。
168,168は力強く真理に向かう数霊です。
169,169は感性の高まりを表す数霊です。
170,170は清らかで清々しいエネルギーを持つ数霊です。
171,171はどっしりした大物の気を持つ数霊です。
172,172は大調和を表す数霊です。
173,173は進化を促す数霊です。
174,174は夫婦和合の数霊です。
175,175は大変志の高い数霊です。
176,176は切り開くというキーワードを持つ数霊です。
177,177は危険を迂回する守護の数霊です。
178,178は女性らしさと母の強さをあわせ持つ数霊です。
179,179は素晴らしさを表す数霊です。
180,180は変化をものともしない、おおらかで力強い息吹に満ちた数霊です。
181,181は、理想社会(ユートピア)を表します。
